level,coef_lo,coef_hi,true_pair,seed,mean_abs_skew,cgp_linear_rank,cgp_nonlinear_rank,em_rank
linear (control),0.0,0.0,1-7,0,0.0285564765384267,2,2,1
linear (control),0.0,0.0,1-7,1,0.0600159002933948,1,1,2
linear (control),0.0,0.0,1-7,2,0.07847147905393405,1,1,1
linear (control),0.0,0.0,1-7,3,0.05902036335873284,1,1,1
linear (control),0.0,0.0,1-7,4,0.020969054560044335,1,1,1
linear (control),0.0,0.0,1-7,5,0.14451146865591832,2,2,1
linear (control),0.0,0.0,1-7,6,0.04123739637610707,7,5,1
linear (control),0.0,0.0,1-7,7,0.06566192943924368,2,1,1
linear (control),0.0,0.0,1-7,8,0.10109784305304322,5,2,1
linear (control),0.0,0.0,1-7,9,0.06594947829512683,1,1,1
linear (control),0.0,0.0,0-10,0,0.04862690057030807,10,18,1
linear (control),0.0,0.0,0-10,1,0.034649542969467026,6,8,1
linear (control),0.0,0.0,0-10,2,0.043789891028564176,12,7,1
linear (control),0.0,0.0,0-10,3,0.087110479554798,8,6,1
linear (control),0.0,0.0,0-10,4,0.008478420315897421,3,2,1
linear (control),0.0,0.0,0-10,5,0.058572003552066175,6,4,1
linear (control),0.0,0.0,0-10,6,0.0708797280844639,6,5,1
linear (control),0.0,0.0,0-10,7,0.091107669781246,3,2,1
linear (control),0.0,0.0,0-10,8,0.04367135038174613,3,4,3
linear (control),0.0,0.0,0-10,9,0.06439253162513543,5,4,3
linear (control),0.0,0.0,6-9,0,0.014118772378842702,1,1,1
linear (control),0.0,0.0,6-9,1,0.06126862082444237,1,1,1
linear (control),0.0,0.0,6-9,2,0.13425809621542087,1,1,1
linear (control),0.0,0.0,6-9,3,0.07137967751939213,1,1,1
linear (control),0.0,0.0,6-9,4,0.05687744189525676,1,1,1
linear (control),0.0,0.0,6-9,5,0.06046000467992368,1,1,12
linear (control),0.0,0.0,6-9,6,0.08761075270319452,1,1,1
linear (control),0.0,0.0,6-9,7,0.03921116348221416,3,1,1
linear (control),0.0,0.0,6-9,8,0.07047309222044001,3,2,1
linear (control),0.0,0.0,6-9,9,0.007302183762284032,3,3,1
mild,0.3,0.6,1-7,0,0.6741362802340588,1,1,2
mild,0.3,0.6,1-7,1,0.9731221614925444,10,2,8
mild,0.3,0.6,1-7,2,0.9157302448230406,2,3,7
mild,0.3,0.6,1-7,3,0.785239863878442,1,1,5
mild,0.3,0.6,1-7,4,0.7273779823402324,2,3,3
mild,0.3,0.6,1-7,5,0.5390509390971,2,3,5
mild,0.3,0.6,1-7,6,0.8231206967637483,2,2,5
mild,0.3,0.6,1-7,7,0.7340430623864954,1,2,1
mild,0.3,0.6,1-7,8,0.6306552852712629,1,2,4
mild,0.3,0.6,1-7,9,0.5132502520282572,2,2,3
mild,0.3,0.6,0-10,0,3.8535480836446325,6,12,34
mild,0.3,0.6,0-10,1,1.8744453035030804,48,9,31
mild,0.3,0.6,0-10,2,1.876645797945897,4,6,36
mild,0.3,0.6,0-10,3,1.1922093265326585,37,10,42
mild,0.3,0.6,0-10,4,1.8935018628915141,4,4,25
mild,0.3,0.6,0-10,5,1.5319534395198227,5,4,24
mild,0.3,0.6,0-10,6,3.2324588716074927,1,4,43
mild,0.3,0.6,0-10,7,2.089747266402729,22,1,21
mild,0.3,0.6,0-10,8,0.7956624333481984,7,2,12
mild,0.3,0.6,0-10,9,1.7505502465963836,8,7,24
mild,0.3,0.6,6-9,0,1.292328147146493,9,1,9
mild,0.3,0.6,6-9,1,1.2696027872833344,1,1,2
mild,0.3,0.6,6-9,2,0.905302208346168,1,1,3
mild,0.3,0.6,6-9,3,0.7611377673961218,1,1,34
mild,0.3,0.6,6-9,4,0.9109731462318077,1,1,1
mild,0.3,0.6,6-9,5,0.578314533609594,5,11,2
mild,0.3,0.6,6-9,6,0.6853896699312664,1,1,1
mild,0.3,0.6,6-9,7,0.7423885736254244,1,1,2
mild,0.3,0.6,6-9,8,1.1397887418415262,4,1,2
mild,0.3,0.6,6-9,9,0.9831275571654662,1,1,2
moderate,0.8,1.2,1-7,0,1.4071756460068439,21,5,43
moderate,0.8,1.2,1-7,1,1.629190638728972,10,2,34
moderate,0.8,1.2,1-7,2,1.4861097158569418,19,4,15
moderate,0.8,1.2,1-7,3,1.5104765313485355,6,6,13
moderate,0.8,1.2,1-7,4,1.4543947366675845,3,2,5
moderate,0.8,1.2,1-7,5,0.9602877711464268,2,2,2
moderate,0.8,1.2,1-7,6,1.4416404290842058,5,7,11
moderate,0.8,1.2,1-7,7,1.3931311448850272,5,3,38
moderate,0.8,1.2,1-7,8,1.1265942118447214,24,2,19
moderate,0.8,1.2,1-7,9,0.9887199215332255,1,2,11
moderate,0.8,1.2,0-10,0,5.573709793816177,14,10,30
moderate,0.8,1.2,0-10,1,4.325975779077462,7,9,37
moderate,0.8,1.2,0-10,2,3.3845856255790685,10,10,8
moderate,0.8,1.2,0-10,3,3.408590292962162,14,7,51
moderate,0.8,1.2,0-10,4,3.23014496915347,16,8,24
moderate,0.8,1.2,0-10,5,2.8812748766755605,5,9,52
moderate,0.8,1.2,0-10,6,4.689149810752785,4,10,53
moderate,0.8,1.2,0-10,7,3.9994899872683245,8,9,29
moderate,0.8,1.2,0-10,8,6.117540883964646,19,7,19
moderate,0.8,1.2,0-10,9,2.9466933134807025,11,10,22
moderate,0.8,1.2,6-9,0,2.1269131576023623,12,11,52
moderate,0.8,1.2,6-9,1,2.1598711825472248,1,1,1
moderate,0.8,1.2,6-9,2,1.5957255758950541,1,1,7
moderate,0.8,1.2,6-9,3,1.4199839890289525,39,1,23
moderate,0.8,1.2,6-9,4,1.5532549238415065,3,1,1
moderate,0.8,1.2,6-9,5,1.3218261919549652,1,1,38
moderate,0.8,1.2,6-9,6,1.4363285358250735,12,1,2
moderate,0.8,1.2,6-9,7,1.7120049540931401,8,1,46
moderate,0.8,1.2,6-9,8,2.1090257996791064,3,1,11
moderate,0.8,1.2,6-9,9,2.047925821484856,43,6,39
strong-ish,1.5,2.0,1-7,0,1.879530644583527,31,5,51
strong-ish,1.5,2.0,1-7,1,1.9897363034007725,18,13,18
strong-ish,1.5,2.0,1-7,2,1.78685308347463,17,24,52
strong-ish,1.5,2.0,1-7,3,2.042669147507915,13,16,6
strong-ish,1.5,2.0,1-7,4,1.8889572107313113,13,4,54
strong-ish,1.5,2.0,1-7,5,1.2556919493509353,11,2,43
strong-ish,1.5,2.0,1-7,6,1.7773724387666128,9,9,51
strong-ish,1.5,2.0,1-7,7,1.8482630619788611,26,24,24
strong-ish,1.5,2.0,1-7,8,1.4503033809539814,31,2,50
strong-ish,1.5,2.0,1-7,9,1.3205548967746077,2,4,39
strong-ish,1.5,2.0,0-10,0,5.8524414627041965,23,10,27
strong-ish,1.5,2.0,0-10,1,5.0532529610029995,16,10,36
strong-ish,1.5,2.0,0-10,2,5.813095942433887,14,10,6
strong-ish,1.5,2.0,0-10,3,4.654709586406827,11,16,44
strong-ish,1.5,2.0,0-10,4,3.908510834252718,10,10,37
strong-ish,1.5,2.0,0-10,5,3.404617720281173,5,10,34
strong-ish,1.5,2.0,0-10,6,5.157429330822275,15,10,32
strong-ish,1.5,2.0,0-10,7,4.415997990326701,8,22,16
strong-ish,1.5,2.0,0-10,8,6.4268098624703525,8,10,50
strong-ish,1.5,2.0,0-10,9,3.4581549810327794,11,22,23
strong-ish,1.5,2.0,6-9,0,2.6847644879376773,38,35,54
strong-ish,1.5,2.0,6-9,1,2.6731458685251375,46,1,8
strong-ish,1.5,2.0,6-9,2,1.9764542820026687,40,1,47
strong-ish,1.5,2.0,6-9,3,1.9715477648263147,38,1,47
strong-ish,1.5,2.0,6-9,4,1.8941882074195122,23,1,27
strong-ish,1.5,2.0,6-9,5,1.9815272920468114,2,1,39
strong-ish,1.5,2.0,6-9,6,1.9740750945234364,46,1,26
strong-ish,1.5,2.0,6-9,7,2.5199993972323544,33,13,54
strong-ish,1.5,2.0,6-9,8,2.711632897194225,22,12,39
strong-ish,1.5,2.0,6-9,9,2.801012213341595,51,55,55
strong,2.0,3.5,1-7,0,2.090969610394148,34,11,45
strong,2.0,3.5,1-7,1,2.159328923897873,3,22,8
strong,2.0,3.5,1-7,2,1.9618274089144032,33,1,1
strong,2.0,3.5,1-7,3,2.326186048038577,18,11,3
strong,2.0,3.5,1-7,4,2.0671320953735375,34,3,53
strong,2.0,3.5,1-7,5,1.5796132822899904,18,2,48
strong,2.0,3.5,1-7,6,1.9269665512252976,10,12,48
strong,2.0,3.5,1-7,7,2.081493342648883,13,25,24
strong,2.0,3.5,1-7,8,1.8101042485538699,22,5,26
strong,2.0,3.5,1-7,9,1.7211191937866825,8,3,28
strong,2.0,3.5,0-10,0,5.779832122633411,17,10,26
strong,2.0,3.5,0-10,1,5.219896630845885,5,10,25
strong,2.0,3.5,0-10,2,7.724576708484996,13,10,2
strong,2.0,3.5,0-10,3,6.266425720968396,12,10,26
strong,2.0,3.5,0-10,4,4.059337205535452,11,10,32
strong,2.0,3.5,0-10,5,3.5344760023356794,17,10,32
strong,2.0,3.5,0-10,6,5.187497564567164,18,10,21
strong,2.0,3.5,0-10,7,4.682365377752091,11,10,21
strong,2.0,3.5,0-10,8,6.302753363347396,10,10,28
strong,2.0,3.5,0-10,9,3.5461911615942743,9,10,18
strong,2.0,3.5,6-9,0,3.041530072557555,28,27,47
strong,2.0,3.5,6-9,1,2.9714746858371215,52,1,43
strong,2.0,3.5,6-9,2,2.1891574253077746,55,1,52
strong,2.0,3.5,6-9,3,2.243317887434122,55,1,49
strong,2.0,3.5,6-9,4,2.3986827286333012,46,1,54
strong,2.0,3.5,6-9,5,2.7381468534285163,32,1,49
strong,2.0,3.5,6-9,6,2.21861334596344,55,21,43
strong,2.0,3.5,6-9,7,2.8950157937918806,26,28,52
strong,2.0,3.5,6-9,8,3.2098260034235033,51,17,45
strong,2.0,3.5,6-9,9,3.160287291579134,55,52,52
